team,player,gms_played,min_played,usage_pct,fgm,fga,fg_pct,two_pt_m,two_pt_att,two_pt_pct,eff_fg_pct,ftm,fta,ft_pct,ft_rate,pts
MIN,Jarred Vanderbilt,74,1880,10.9,2.9,4.9,0.587,2.8,4.7,0.605,0.59,1.2,1.8,0.656,0.363,6.9
MIN,Naz Reid,77,1215,21.4,3,6.2,0.489,2.3,4,0.568,0.549,1.5,1.9,0.765,0.313,8.3
MIN,Josh Okogie,49,516,12.1,0.9,2.1,0.404,0.6,1.2,0.491,0.471,0.7,1,0.686,0.49,2.7
MIN,Taurean Prince,69,1177,17,2.6,5.7,0.454,1.3,2.3,0.565,0.564,0.9,1.2,0.756,0.21,7.3
MIN,Jordan McLaughlin,62,902,11.8,1.4,3.2,0.44,1,1.9,0.53,0.508,0.5,0.6,0.75,0.2,3.8
MIN,Jaylen Nowell,62,975,21,3.2,6.7,0.475,2.1,4.1,0.526,0.551,1.2,1.5,0.783,0.223,8.5
MIN,Jake Layman,34,231,16.4,0.9,2.1,0.411,0.6,1.1,0.579,0.466,0.4,0.5,0.722,0.247,2.4
MIN,Jaden McDaniels,70,1803,15.3,3.6,7.9,0.46,2.5,4.3,0.579,0.532,0.8,1,0.803,0.128,9.2
MIN,Patrick Beverley,58,1476,16.1,3.1,7.5,0.406,1.6,3.3,0.485,0.501,1.7,2.3,0.722,0.305,9.2
MIN,Nathan Knight,37,267,20.7,1.2,2.4,0.511,1.1,2,0.547,0.534,1.2,1.6,0.733,0.682,3.7
MIN,Leandro Bolmaro,35,241,12.6,0.5,1.5,0.315,0.3,1,0.333,0.361,0.3,0.4,0.846,0.241,1.4
NOP,Didi Louzada,9,129,15.55,0.85,2.9,0.2,0.2,0.7,0.3,0.275,0.15,0.15,1,0.0335,2.5
NOP,Josh Hart,54,1791,20.85,5.95,11.75,0.504,4.2,6.95,0.604,0.5735,3.1,4.1,0.7625,0.355,16.65
NOP,Tony Snell,53,823,10.75,1.55,3.75,0.4085,0.55,1,0.558,0.5415,0.1,0.1,1,0.0225,4.25
NOP,Herbert Jones,78,2335,13.7,3.5,7.4,0.476,2.8,5.2,0.533,0.525,1.8,2.1,0.84,0.283,9.5
NOP,Larry Nance Jr.,46,1040,13.55,2.9,5.4,0.533,2.4,4.15,0.5855,0.5775,0.9,1.1,0.8265,0.205,7.1
NOP,Devonte' Graham,76,2162,19.5,3.9,10.7,0.363,1.4,3.3,0.413,0.481,1.6,1.8,0.843,0.172,11.9
NOP,Brandon Ingram,55,1869,29.3,8.2,17.9,0.461,6.9,13.8,0.501,0.498,4.8,5.9,0.826,0.328,22.7
NOP,Jaxson Hayes,70,1398,16.4,3.5,5.7,0.616,3.2,4.9,0.66,0.641,2.1,2.7,0.766,0.472,9.3
NOP,Trey Murphy III,62,864,15.7,1.8,4.5,0.394,0.6,1.5,0.418,0.522,0.7,0.8,0.882,0.184,5.4
NOP,Willy Hernangómez,50,839,22.5,3.4,6.5,0.52,3.3,6.3,0.527,0.526,2.2,2.8,0.773,0.431,9.1
NOP,Jonas Valančiūnas,74,2240,23.8,6.9,12.7,0.544,6.1,10.5,0.581,0.574,3.2,3.9,0.82,0.308,17.8
NOP,Kira Lewis Jr.,24,341,22.3,2.5,6.1,0.404,1.9,3.7,0.523,0.449,0.4,0.5,0.833,0.082,5.9
NOP,Gary Clark,38,378,11.6,0.9,2.3,0.375,0.1,0.5,0.278,0.534,0.2,0.3,0.7,0.114,2.7
NOP,Naji Marshall,55,735,20.8,2,4.9,0.405,1.6,3,0.537,0.444,1.3,1.7,0.796,0.346,5.7
NOP,Jared Harper,5,43,29.7,2.8,5.2,0.538,1.8,2.8,0.643,0.635,0.8,0.8,1,0.154,7.4
NOP,Tyrone Wallace,6,75,13.9,1.2,3.3,0.35,0.8,2,0.417,0.4,0.2,0.8,0.2,0.25,2.8
NOP,Garrett Temple,59,1098,13.9,1.9,5,0.376,0.9,1.9,0.473,0.476,0.5,0.7,0.683,0.139,5.2
NOP,CJ McCollum,62,2145,27.75,8.8,18.85,0.4645,5.85,11.35,0.5125,0.542,1.95,2.9,0.6865,0.153,22.4
NOP,Jose Alvarado,54,834,18.4,2.4,5.4,0.446,1.8,3.4,0.538,0.5,0.7,1,0.679,0.18,6.1
NOP,Nickeil Alexander-Walker,65,1466,21.35,2.9,7.9,0.354,1.6,3.75,0.417,0.444,1.05,1.35,0.8195,0.2015,8.15
NOP,Tomáš Satoranský,55,906,11.16666667,0.933333333,2.366666667,0.3875,0.766666667,1.733333333,0.4515,0.417,1.533333333,1.966666667,0.783333333,0.266,3.566666667
NYK,Alec Burks,81,2318,17.7,3.5,9,0.391,1.6,4.2,0.378,0.499,2.7,3.3,0.822,0.363,11.7
NYK,Quentin Grimes,46,786,15.1,2.1,5.1,0.404,0.5,1,0.5,0.557,0.3,0.4,0.684,0.081,6
NYK,Damyean Dotson,2,21,8.3,1,2,0.5,1,1.5,0.667,0.5,0,0,,0,2
NYK,Obi Toppin,72,1230,20.8,3.5,6.6,0.531,2.8,4.2,0.655,0.586,1.3,1.7,0.758,0.262,9
NYK,Evan Fournier,80,2358,20.8,5,12.1,0.417,2,4.3,0.465,0.541,1,1.4,0.708,0.117,14.1
NYK,Jericho Sims,41,555,6.9,1,1.3,0.722,1,1.3,0.722,0.722,0.3,0.7,0.414,0.537,2.2
NYK,Matt Mooney,1,2,43.8,0,1,0,0,0,,0,0,0,,0,0
NYK,Kemba Walker,37,948,20.8,4,10,0.403,2.1,4.6,0.444,0.501,1.6,1.9,0.845,0.192,11.6
NYK,Immanuel Quickley,78,1802,22.2,3.6,9.3,0.392,1.9,4.2,0.448,0.487,2.3,2.6,0.881,0.278,11.3
NYK,Feron Hunt,2,8,16.4,0,1,0,0,1,0,0,0,0,,0,0
NYK,Wayne Selden,3,19,13.3,0.3,1.3,0.25,0,0.7,0,0.375,0.7,1.3,0.5,1,1.7
NYK,Derrick Rose,26,636,22.5,4.7,10.5,0.445,3.3,7,0.467,0.513,1.2,1.2,0.968,0.113,12
