DIVISION,TM,SEASON,POSSESSIONS,PTS
Central,MIL,2019-20,7669,8663
Central,MIL,2020-21,7348,8649
Central,MIL,2021-22,8199,9470
Central,MIL,2022-23,8282,9589
Central,CLE,2000-01,7539,7561
Central,CLE,2001-02,7482,7812
Central,CLE,2002-03,7794,7495
Central,CLE,2003-04,7517,7619
Central,CLE,2004-05,7456,7914
Central,CLE,2005-06,7419,8002
Central,CLE,2006-07,7503,7934
Central,CLE,2007-08,7451,7903
Central,CLE,2008-09,7322,8223
Central,CLE,2009-10,7487,8373
Central,CLE,2010-11,7643,7827
Central,CLE,2011-12,6067,6140
Central,CLE,2012-13,7586,7913
Central,CLE,2013-14,7691,8054
Central,CLE,2014-15,7617,8457
Central,CLE,2015-16,7694,8555
Central,CLE,2016-17,7927,9048
Central,CLE,2017-18,8031,9091
Central,CLE,2018-19,7915,8567
Central,CLE,2019-20,6431,6948
Central,CLE,2020-21,7032,7476
Central,CLE,2021-22,7882,8839
Central,CLE,2022-23,7891,9205
Central,CHI,2000-01,7403,7181
Central,CHI,2001-02,7486,7335
Central,CHI,2002-03,7798,7786
Central,CHI,2003-04,7618,7355
Central,CHI,2004-05,7637,7745
Central,CHI,2005-06,7692,8020
Central,CHI,2006-07,7714,8100
Central,CHI,2007-08,7686,7981
Central,CHI,2008-09,7737,8378
Central,CHI,2009-10,7709,7993
Central,CHI,2010-11,7443,8087
Central,CHI,2011-12,5912,6359
Central,CHI,2012-13,7381,7641
Central,CHI,2013-14,7454,7680
Central,CHI,2014-15,7679,8265
Central,CHI,2015-16,7931,8335
Central,CHI,2016-17,7844,8435
Central,CHI,2017-18,8063,8440
Central,CHI,2018-19,8153,8605
Central,CHI,2019-20,6499,6945
Central,CHI,2020-21,7136,7969
Central,CHI,2021-22,8044,9152
Central,CHI,2022-23,8132,9276
Central,IND,2000-01,7482,7591
Central,IND,2001-02,7656,7938
Central,IND,2002-03,7622,7940
Central,IND,2003-04,7233,7493
Central,IND,2004-05,7276,7626
Central,IND,2005-06,7395,7700
Central,IND,2006-07,7616,7840
Central,IND,2007-08,8040,8527
Central,IND,2008-09,7953,8617
Central,IND,2009-10,7941,8263
Central,IND,2010-11,7789,8183
Central,IND,2011-12,6051,6449
Central,IND,2012-13,7332,7674
Central,IND,2013-14,7585,7933
Central,IND,2014-15,7675,7981
Central,IND,2015-16,7989,8377
Central,IND,2016-17,7913,8618
Central,IND,2017-18,7858,8656
Central,IND,2018-19,8004,8857
Central,IND,2019-20,7225,7989
Central,IND,2020-21,7353,8302
Central,IND,2021-22,8083,9140
Central,IND,2022-23,8269,9535
Central,DET,2000-01,7853,7837
Central,DET,2001-02,7402,7735
Central,DET,2002-03,7234,7492
Central,DET,2003-04,7269,7388
Central,DET,2004-05,7279,7653
Central,DET,2005-06,7203,7941
Central,DET,2006-07,7254,7872
Central,DET,2007-08,7200,7992
Central,DET,2008-09,7212,7727
Central,DET,2009-10,7288,7709
Central,DET,2010-11,7346,7951
Central,DET,2011-12,5938,5997
Central,DET,2012-13,7487,7778
Central,DET,2013-14,7798,8286
Central,DET,2014-15,7647,8077
Central,DET,2015-16,7854,8361
Central,DET,2016-17,7796,8309
Central,DET,2017-18,7884,8509
Central,DET,2018-19,8000,8778
Central,DET,2019-20,6437,7078
Central,DET,2020-21,7050,7676
Central,DET,2021-22,8058,8596
Central,DET,2022-23,8137,9045
Southeast,ATL,2000-01,7600,7459
Southeast,ATL,2001-02,7606,7711
Southeast,ATL,2002-03,7587,7714
Southeast,ATL,2003-04,7600,7611
Southeast,ATL,2004-05,7586,7605
Southeast,ATL,2005-06,7491,7972
Southeast,ATL,2006-07,7456,7680
Southeast,ATL,2007-08,7546,8054
Southeast,ATL,2008-09,7347,8046
Southeast,ATL,2009-10,7439,8338
Southeast,ATL,2010-11,7328,7790
Southeast,ATL,2011-12,6044,6375
Southeast,ATL,2012-13,7648,8032
Southeast,ATL,2013-14,7805,8282
Southeast,ATL,2014-15,7706,8409
Southeast,ATL,2015-16,7985,8433
Southeast,ATL,2016-17,8017,8459
Southeast,ATL,2017-18,8001,8475
Southeast,ATL,2018-19,8547,9294
Southeast,ATL,2019-20,6938,7488
Southeast,ATL,2020-21,7086,8186
Southeast,ATL,2021-22,8023,9343
Southeast,ATL,2022-23,8310,9711
Southeast,MIA,2000-01,7244,7289
Southeast,MIA,2001-02,7249,7150
Southeast,MIA,2002-03,7263,7016
Southeast,MIA,2003-04,7274,7402
Southeast,MIA,2004-05,7565,8327
Southeast,MIA,2005-06,7537,8191
Southeast,MIA,2006-07,7414,7759
Southeast,MIA,2007-08,7444,7491
Southeast,MIA,2008-09,7466,8061
Southeast,MIA,2009-10,7390,7914
Southeast,MIA,2010-11,7467,8369
Southeast,MIA,2011-12,6094,6500
Southeast,MIA,2012-13,7481,8436
Southeast,MIA,2013-14,7535,8380
Southeast,MIA,2014-15,7441,7764
Southeast,MIA,2015-16,7688,8204
Southeast,MIA,2016-17,7790,8460
Southeast,MIA,2017-18,7871,8480
