Player,Season,Record,TM,GP,W,L,MIN_PLAYED,PTS,POSS,TCHS,FRONT_CT_TCHS,POSS_TIME,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TCH,PTS_PER_TCH,ELBOW_CT_TCHS,POST_UPS,PAINT_TCHS,PTS_PER_ELB_TCH,PTS_PER_POST_TCH,PTS_PER_PAINT_TCH
Rajon Rondo,2014-15,40-42,BOS,22,8,14,699,182,7928,1982,714,153,4.63,4.18,0.092,47,4,35,0.021,0,0.114
Shavlik Randolph,2014-15,40-42,BOS,5,2,3,25,7,7928,41,27,1,1.36,0.36,0.171,4,2,8,0,0,0.5
Tayshaun Prince,2014-15,40-42,BOS,9,4,5,198,76,7928,307,218,11,2.15,1.07,0.248,6,16,13,0,0.25,0.769
Tyler Zeller,2014-15,40-42,BOS,82,40,42,1731,833,7928,2675,1765,72,1.62,0.51,0.311,261,146,502,0.51,0.568,0.912
Amir Johnson,2015-16,48-34,BOS,78,44,34,1777,573,8115,3153,1881,72,1.37,0.46,0.182,152,91,436,0.428,0.451,0.839
Avery Bradley,2015-16,48-34,BOS,75,44,31,2507,1135,8115,2893,2241,95,1.98,1.63,0.392,105,1,111,0.705,0,1.063
Coty Clarke,2015-16,48-34,BOS,3,0,3,6,6,8115,12,8,0,2.07,1.67,0.5,0,0,1,0,0,1
David Lee,2015-16,48-34,BOS,29,14,15,455,212,8115,1043,703,31,1.79,0.83,0.203,81,74,111,0.531,0.514,0.739
Evan Turner,2015-16,48-34,BOS,80,46,34,2244,848,8115,4370,2157,291,4,3.3,0.194,54,107,106,0.481,0.654,0.651
Isaiah Thomas,2015-16,48-34,BOS,81,47,34,2610,1802,8115,6851,2726,528,4.63,4.48,0.263,84,9,68,0.429,0.222,0.735
Jae Crowder,2015-16,48-34,BOS,72,42,30,2278,1018,8115,3506,2341,98,1.67,0.75,0.29,62,46,137,0.887,0.522,1.073
James Young,2015-16,48-34,BOS,28,11,17,196,29,8115,181,117,5,1.69,0.82,0.16,2,0,4,0,0,0
Jared Sullinger,2015-16,48-34,BOS,80,46,34,1900,828,8115,3644,2393,107,1.75,0.61,0.227,208,241,373,0.428,0.461,0.743
Jonas Jerebko,2015-16,48-34,BOS,77,46,31,1160,335,8115,2028,1163,51,1.5,0.46,0.165,46,20,159,0.478,0.3,0.604
Jordan Mickey,2015-16,48-34,BOS,16,9,7,57,21,8115,106,62,3,1.48,0.22,0.198,5,5,21,0,0.6,0.81
Kelly Olynyk,2015-16,48-34,BOS,68,39,29,1370,666,8115,2795,1688,77,1.65,0.62,0.238,99,60,199,0.374,0.55,0.809
Marcus Smart,2015-16,48-34,BOS,61,36,25,1667,558,8115,2773,1485,147,3.18,2.62,0.201,34,59,144,0.412,0.407,0.708
RJ Hunter,2015-16,48-34,BOS,35,20,15,307,95,8115,337,262,10,1.82,1.27,0.282,2,0,5,0,0,1.2
Terry Rozier,2015-16,48-34,BOS,38,23,15,308,70,8115,707,306,50,4.28,4.02,0.099,6,0,19,0,0,0.211
